Date,Open,High,Low,Close,Adj Close,Volume
1990-02-12,0.000000,0.079861,0.073785,0.077257,0.058244,940636800
1990-02-19,0.000000,0.081597,0.074653,0.078559,0.059225,312307200
1990-02-26,0.000000,0.082465,0.076389,0.080729,0.060861,157334400
1990-03-05,0.000000,0.081597,0.077257,0.077257,0.058244,89164800
1990-03-12,0.000000,0.091146,0.077257,0.087674,0.066097,219225600
1990-03-19,0.000000,0.091146,0.077257,0.080729,0.060861,166838400
1990-03-26,0.082465,0.085938,0.079861,0.081597,0.061516,112435200
1990-04-02,0.078993,0.081597,0.077257,0.078993,0.059553,57600000
1990-04-09,0.079861,0.079861,0.074653,0.077257,0.058244,79430400
1990-04-16,0.077257,0.079861,0.075521,0.077257,0.058244,70560000
1990-04-23,0.077257,0.081597,0.076389,0.078993,0.059553,37324800
1990-04-30,0.080729,0.085938,0.079861,0.085938,0.064788,79171200
1990-05-07,0.085938,0.089410,0.085069,0.085938,0.064788,70416000
1990-05-14,0.087674,0.087674,0.084201,0.085069,0.064134,110102400
1990-05-21,0.084201,0.086806,0.082465,0.083333,0.062825,78854400
1990-05-28,0.083333,0.088542,0.080729,0.086806,0.065442,323107200
1990-06-04,0.087674,0.093750,0.085938,0.087674,0.066097,152582400
1990-06-11,0.085069,0.098090,0.085069,0.095486,0.071987,250099200
1990-06-18,0.097222,0.097222,0.090278,0.094618,0.071332,73641600
1990-06-25,0.094618,0.094618,0.086806,0.092014,0.069369,213984000
1990-07-02,0.092014,0.093750,0.090278,0.091580,0.069042,49968000
1990-07-09,0.091580,0.105035,0.090278,0.105035,0.079185,151920000
1990-07-16,0.104167,0.105035,0.094618,0.097222,0.073296,231523200
1990-07-23,0.097222,0.097222,0.082465,0.089410,0.067406,157478400
1990-07-30,0.089410,0.090278,0.079861,0.084201,0.063479,96220800
1990-08-06,0.084201,0.088542,0.078993,0.083333,0.062825,206179200
1990-08-13,0.081597,0.085938,0.079861,0.085938,0.064788,180662400
1990-08-20,0.085938,0.088542,0.076389,0.082465,0.062170,224236800
1990-08-27,0.085069,0.088542,0.083333,0.085938,0.064788,164073600
1990-09-03,0.085938,0.087674,0.083333,0.086806,0.065442,116467200
1990-09-10,0.086806,0.087674,0.085069,0.085938,0.064788,103190400
1990-09-17,0.086806,0.093750,0.085069,0.085938,0.064788,333993600
1990-09-24,0.084201,0.085938,0.075521,0.078125,0.058898,505612800
1990-10-01,0.078125,0.087674,0.078125,0.081597,0.061516,266284800
1990-10-08,0.085069,0.085069,0.068576,0.075521,0.056935,350150400
1990-10-15,0.078125,0.101128,0.074653,0.099826,0.075259,533894400
1990-10-22,0.100694,0.111111,0.099826,0.100694,0.075913,473558400
1990-10-29,0.100694,0.105035,0.092014,0.105035,0.079185,273283200
1990-11-05,0.105035,0.125868,0.103299,0.122396,0.092274,1033862400
1990-11-12,0.121528,0.128472,0.119792,0.126736,0.095546,634636800
1990-11-19,0.128472,0.129340,0.122396,0.127604,0.096200,171792000
1990-11-26,0.125868,0.138889,0.125000,0.137153,0.103399,483926400
1990-12-03,0.138889,0.148872,0.137153,0.143229,0.107980,475833600
1990-12-10,0.142361,0.157118,0.138021,0.156250,0.117796,388108800
1990-12-17,0.154514,0.157118,0.147569,0.152778,0.115179,442166400
1990-12-24,0.151910,0.153212,0.144965,0.153212,0.115506,192816000
1990-12-31,0.153646,0.156684,0.139757,0.141493,0.106671,392745600
1991-01-07,0.140625,0.146701,0.136285,0.142361,0.107326,326966400
1991-01-14,0.140625,0.174479,0.140625,0.172743,0.130230,539251200
1991-01-21,0.171875,0.187500,0.171007,0.186632,0.140701,515203200
1991-01-28,0.184896,0.208333,0.184462,0.202257,0.152481,735264000
1991-02-04,0.202257,0.209201,0.195313,0.204861,0.154444,989942400
1991-02-11,0.204861,0.210938,0.199653,0.203125,0.153135,1320220800
1991-02-18,0.203125,0.203993,0.191840,0.197049,0.148554,593625600
1991-02-25,0.197917,0.200521,0.183160,0.197917,0.149209,629712000
1991-03-04,0.200521,0.210938,0.184028,0.192708,0.145282,875606400
1991-03-11,0.191840,0.191840,0.163194,0.166667,0.125649,1194537600
1991-03-18,0.168403,0.203125,0.164931,0.178819,0.134811,640598400
1991-03-25,0.180556,0.185764,0.164931,0.169271,0.127613,1052668800
1991-04-01,0.166667,0.185764,0.145833,0.174479,0.131539,1183075200
1991-04-08,0.171875,0.201389,0.170139,0.197917,0.149209,395352000
1991-04-15,0.197917,0.227431,0.185764,0.220486,0.166224,792921600
1991-04-22,0.217014,0.223958,0.203125,0.211806,0.159680,330840000
1991-04-29,0.211806,0.215278,0.196181,0.213542,0.160988,241790400
1991-05-06,0.210069,0.232639,0.206597,0.213542,0.160988,647899200
1991-05-13,0.213542,0.220486,0.192708,0.197917,0.149209,506275200
1991-05-20,0.197917,0.220486,0.194444,0.220486,0.166224,351144000
1991-05-27,0.220486,0.234375,0.218750,0.223958,0.168841,303278400
1991-06-03,0.223958,0.230903,0.218750,0.227431,0.171459,316900800
1991-06-10,0.229167,0.243056,0.222222,0.236111,0.178003,303076800
1991-06-17,0.236111,0.251736,0.229167,0.230903,0.174077,358113600
1991-06-24,0.229167,0.232639,0.203125,0.211806,0.159680,386625600
1991-07-01,0.217014,0.223958,0.213542,0.220486,0.166224,155692800
1991-07-08,0.218750,0.244792,0.213542,0.243056,0.183239,279144000
1991-07-15,0.244792,0.267361,0.241319,0.260417,0.196327,280771200
1991-07-22,0.262153,0.267361,0.244792,0.254340,0.191746,376488000
1991-07-29,0.253472,0.286458,0.253472,0.282986,0.213342,446774400
1991-08-05,0.282986,0.291667,0.267361,0.270833,0.204180,468129600
1991-08-12,0.270833,0.305556,0.269097,0.296875,0.223813,615124800
1991-08-19,0.281250,0.321181,0.277778,0.317708,0.239519,607348800
1991-08-26,0.317708,0.322917,0.309028,0.315104,0.237556,173347200
1991-09-02,0.310764,0.315972,0.284722,0.293403,0.221195,208468800
1991-09-09,0.293403,0.315972,0.293403,0.305556,0.230357,292521600
1991-09-16,0.305556,0.317708,0.293403,0.313368,0.236247,235569600
1991-09-23,0.314236,0.315972,0.274306,0.277778,0.209416,597081600
1991-09-30,0.276042,0.298611,0.272569,0.286458,0.215960,370728000
1991-10-07,0.284722,0.291667,0.258681,0.282118,0.212688,539942400
1991-10-14,0.282986,0.319444,0.281250,0.311632,0.234938,544651200
1991-10-21,0.311632,0.319444,0.296875,0.302083,0.227740,335779200
1991-10-28,0.307292,0.343750,0.303819,0.328125,0.247372,508852800
1991-11-04,0.328125,0.376736,0.324653,0.369792,0.278785,582134400
1991-11-11,0.371528,0.383681,0.355903,0.355903,0.268314,340574400
1991-11-18,0.356771,0.361111,0.333333,0.342014,0.257843,365328000
1991-11-25,0.343750,0.348958,0.335069,0.343750,0.259152,155174400
1991-12-02,0.340278,0.394097,0.336806,0.372396,0.280748,356198400
1991-12-09,0.375000,0.387153,0.368056,0.381076,0.287292,296928000
1991-12-16,0.383681,0.399306,0.380208,0.381944,0.287947,355132800
1991-12-23,0.381944,0.449653,0.380208,0.446181,0.336374,442425600
1991-12-30,0.454861,0.473958,0.447917,0.465278,0.350771,322286400
1992-01-06,0.463542,0.522569,0.454861,0.501736,0.378257,564249600
1992-01-13,0.506944,0.538194,0.491319,0.520833,0.392654,529416000
1992-01-20,0.520833,0.522569,0.461806,0.513889,0.387419,786600000
1992-01-27,0.515625,0.531250,0.505208,0.521701,0.393309,384523200
1992-02-03,0.524306,0.605903,0.522569,0.593750,0.447626,704016000
1992-02-10,0.593750,0.604167,0.564236,0.585069,0.441082,446270400
1992-02-17,0.593750,0.598958,0.559028,0.565972,0.426685,418046400
1992-02-24,0.565972,0.583333,0.539931,0.565972,0.426685,415339200
1992-03-02,0.565972,0.572917,0.536458,0.541667,0.408361,325036800
1992-03-09,0.546875,0.564236,0.536458,0.550347,0.414905,344592000
1992-03-16,0.550347,0.585069,0.543403,0.575521,0.433883,309240000
1992-03-23,0.579861,0.597222,0.541667,0.541667,0.408361,286797600
1992-03-30,0.548611,0.579861,0.538194,0.555556,0.418831,258256800
1992-04-06,0.565972,0.583333,0.486111,0.520833,0.392654,485510400
1992-04-13,0.520833,0.565972,0.517361,0.536458,0.404434,229593600
1992-04-20,0.531250,0.531250,0.493056,0.506944,0.382184,328384800
1992-04-27,0.500000,0.524306,0.458333,0.512153,0.386110,410004000
1992-05-04,0.520833,0.552083,0.513889,0.538194,0.405743,238780800
1992-05-11,0.548611,0.572917,0.524306,0.567708,0.427993,644961600
1992-05-18,0.569444,0.590278,0.569444,0.572917,0.431920,295423200
1992-05-25,0.576389,0.635417,0.555556,0.635417,0.479038,340617600
1992-06-01,0.628472,0.673611,0.621528,0.642361,0.484274,359474400
1992-06-08,0.638889,0.663194,0.618056,0.652778,0.492127,323100000
1992-06-15,0.649306,0.659722,0.597222,0.611111,0.460715,374860800
1992-06-22,0.611111,0.656250,0.593750,0.623264,0.469877,307260000
1992-06-29,0.621528,0.684028,0.621528,0.663194,0.499980,324108000
1992-07-06,0.659722,0.673611,0.614583,0.649306,0.489509,373413600
1992-07-13,0.649306,0.708333,0.645833,0.684028,0.515686,288100800
1992-07-20,0.670139,0.725694,0.666667,0.718750,0.541863,292752000
1992-07-27,0.715278,0.746528,0.697917,0.741319,0.558878,221832000
1992-08-03,0.739583,0.746528,0.684028,0.696181,0.524848,268912800
1992-08-10,0.687500,0.718750,0.656250,0.680556,0.513068,525139200
1992-08-17,0.680556,0.697917,0.652778,0.656250,0.494745,345873600
1992-08-24,0.652778,0.663194,0.614583,0.644097,0.485583,319435200
1992-08-31,0.645833,0.708333,0.628472,0.697917,0.526157,392846400
1992-09-07,0.694444,0.760417,0.694444,0.741319,0.558878,263916000
1992-09-14,0.753472,0.767361,0.725694,0.756944,0.570658,313567200
1992-09-21,0.756944,0.781250,0.732639,0.739583,0.557569,308743200
1992-09-28,0.739583,0.743056,0.704861,0.711806,0.536628,338277600
1992-10-05,0.704861,0.760417,0.666667,0.750000,0.565422,434354400
1992-10-12,0.753472,0.802083,0.746528,0.789931,0.595526,286113600
1992-10-19,0.795139,0.829861,0.788194,0.812500,0.612541,299440800
1992-10-26,0.812500,0.854167,0.802083,0.833333,0.628247,301564800
1992-11-02,0.840278,0.916667,0.833333,0.913194,0.688454,361569600
1992-11-09,0.913194,1.010417,0.909722,0.979167,0.738190,858535200
1992-11-16,0.975694,1.041667,0.940972,1.027778,0.774838,390571200
1992-11-23,1.017361,1.062500,1.000000,1.038194,0.782691,239090400
1992-11-30,1.038194,1.041667,0.982639,1.034722,0.780073,461671200
1992-12-07,1.041667,1.048611,0.982639,0.996528,0.751279,326383200
1992-12-14,0.989583,1.034722,0.954861,1.013889,0.764367,519876000
1992-12-21,1.010417,1.055556,0.996528,1.045139,0.787927,272476800
1992-12-28,1.048611,1.121528,1.045139,1.092014,0.823265,296121600
1993-01-04,1.093750,1.152778,1.059028,1.128472,0.850751,408456000
1993-01-11,1.128472,1.246528,1.125000,1.206597,0.909650,561024000
1993-01-18,1.201389,1.302083,1.194444,1.279514,0.964621,454226400
1993-01-25,1.281250,1.315972,1.208333,1.229167,0.926664,474429600
1993-02-01,1.239583,1.309028,1.215278,1.232639,0.929282,537732000
1993-02-08,1.232639,1.246528,1.177083,1.199653,0.904414,535903200
1993-02-15,1.190972,1.201389,1.069444,1.180556,0.890017,836834400
1993-02-22,1.180556,1.232639,1.097222,1.218750,0.918811,511495200
1993-03-01,1.215278,1.302083,1.177083,1.277778,0.963312,467503200
1993-03-08,1.243056,1.312500,1.232639,1.309028,0.986872,459986400
1993-03-15,1.315972,1.340278,1.229167,1.241319,0.935827,490118400
1993-03-22,1.222222,1.277778,1.125000,1.256944,0.947606,422380800
1993-03-29,1.256944,1.284722,1.166667,1.177083,0.887399,308404800
1993-04-05,1.180556,1.263889,1.173611,1.211806,0.913576,173901600
1993-04-12,1.229167,1.291667,1.194444,1.236111,0.931900,246456000
1993-04-19,1.229167,1.243056,1.125000,1.177083,0.887399,293932800
1993-04-26,1.159722,1.236111,1.076389,1.145833,0.863840,358437600
1993-05-03,1.138889,1.368056,1.111111,1.354167,1.020901,611380800
1993-05-10,1.375000,1.402778,1.319444,1.392361,1.049696,382874400
1993-05-17,1.381944,1.562500,1.381944,1.500000,1.130845,427276800
1993-05-24,1.493056,1.562500,1.437500,1.500000,1.130845,310294800
1993-05-31,1.506944,1.520833,1.416667,1.447917,1.091580,251859600
1993-06-07,1.444444,1.479167,1.361111,1.465278,1.104668,272836800
1993-06-14,1.472222,1.520833,1.416667,1.430556,1.078491,228229200
1993-06-21,1.430556,1.506944,1.381944,1.482639,1.117757,223416000
1993-06-28,1.486111,1.590278,1.472222,1.541667,1.162257,292611600
1993-07-05,1.527778,1.541667,1.458333,1.520833,1.146551,139968000
1993-07-12,1.527778,1.583333,1.361111,1.388889,1.047078,388710000
1993-07-19,1.381944,1.486111,1.312500,1.468750,1.107285,373953600
1993-07-26,1.465278,1.555556,1.423611,1.440972,1.086344,259624800
1993-08-02,1.437500,1.590278,1.437500,1.576389,1.188434,248144400
1993-08-09,1.590278,1.645833,1.440972,1.475694,1.112521,480196800
1993-08-16,1.479167,1.625000,1.451389,1.475694,1.112521,546134400
1993-08-23,1.465278,1.534722,1.381944,1.461806,1.102050,573210000
1993-08-30,1.465278,1.479167,1.305556,1.315972,0.992107,694602000
1993-09-06,1.305556,1.333333,1.138889,1.243056,0.937136,813348000
1993-09-13,1.250000,1.291667,1.118056,1.270833,0.958077,747561600
1993-09-20,1.263889,1.354167,1.215278,1.347222,1.015666,551959200
1993-09-27,1.381944,1.506944,1.333333,1.371528,1.033990,534798000
1993-10-04,1.361111,1.402778,1.236111,1.319444,0.994725,473853600
1993-10-11,1.319444,1.451389,1.270833,1.361111,1.026137,389667600
1993-10-18,1.364583,1.395833,1.277778,1.375000,1.036608,398498400
1993-10-25,1.388889,1.444444,1.340278,1.423611,1.073256,299530800
1993-11-01,1.430556,1.503472,1.357639,1.486111,1.120374,583372800
1993-11-08,1.486111,1.576389,1.458333,1.548611,1.167493,463716000
1993-11-15,1.555556,1.597222,1.506944,1.583333,1.193670,356346000
1993-11-22,1.569444,1.618056,1.527778,1.593750,1.201523,232984800
1993-11-29,1.590278,1.708333,1.534722,1.701389,1.282672,488098800
1993-12-06,1.680556,1.729167,1.631944,1.659722,1.251259,269564400
1993-12-13,1.652778,1.687500,1.618056,1.680556,1.266966,217897200
1993-12-20,1.673611,1.750000,1.638889,1.725694,1.300995,205880400
1993-12-27,1.736111,1.826389,1.722222,1.795139,1.353349,579967200
1994-01-03,1.791667,1.875000,1.756944,1.850694,1.395232,410446800
1994-01-10,1.861111,1.930556,1.840278,1.916667,1.444969,265359600
1994-01-17,1.923611,1.965278,1.888889,1.947917,1.468528,241588800
1994-01-24,1.937500,1.979167,1.875000,1.958333,1.476381,339343200
1994-01-31,1.958333,2.083333,1.958333,1.993056,1.502558,354020400
1994-02-07,1.972222,2.090278,1.944444,2.065972,1.557529,484545600
1994-02-14,2.069444,2.107639,1.993056,2.027778,1.528735,284209200
1994-02-21,2.027778,2.062500,1.972222,2.031250,1.531353,289998000
1994-02-28,2.048611,2.194444,2.013889,2.194444,1.654384,463611600
1994-03-07,2.194444,2.263889,2.173611,2.215278,1.670091,346572000
1994-03-14,2.208333,2.229167,2.159722,2.194444,1.654384,235357200
1994-03-21,2.222222,2.222222,1.791667,1.833333,1.382144,501841200
1994-03-28,1.875000,1.916667,1.722222,1.902778,1.434498,360390000
1994-04-04,1.833333,2.000000,1.791667,1.930556,1.455439,336882400
1994-04-11,1.916667,1.930556,1.555556,1.680556,1.266966,618112400
1994-04-18,1.708333,1.819444,1.569444,1.736111,1.308848,370443200
1994-04-25,1.736111,1.819444,1.680556,1.684028,1.269583,193733600
1994-05-02,1.704861,1.888889,1.652778,1.750000,1.319319,449380400
1994-05-09,1.736111,1.750000,1.222222,1.291667,0.973783,1213750000
1994-05-16,1.305556,1.361111,1.201389,1.291667,0.973783,805620000
1994-05-23,1.291667,1.500000,1.277778,1.409722,1.062785,323282800
1994-05-30,1.409722,1.416667,1.305556,1.361111,1.026137,171852800
1994-06-06,1.368056,1.402778,1.246528,1.305556,0.984254,239898400
1994-06-13,1.298611,1.423611,1.263889,1.354167,1.020901,286504000
1994-06-20,1.333333,1.416667,1.131944,1.229167,0.926664,464660400
1994-06-27,1.222222,1.357639,1.215278,1.309028,0.986872,253925200
